id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth,pred_runs,pred_wkts,detected_role,impact_score
379143,Q de Kock,3,wicketkeeper batter,left-hand bat,,137.0,137.0,5901.0,45.39,96.06,17.0,24.0,,,,,45.39,,,4907.0,,178,5154.0,,115.0,115.0,14.0,,,,,,2013-2023,137.0,137.0,7.0,5901.0,178,45.39,6143.0,96.06,17.0,29.0,4.0,679.0,90.0,2013-2023,,,,,,,,,,,,137.0,,,,,South Africa,17/12/1992,5901.000000000011,8.264164831191295e-14,wicketkeeper batter,5901.000000000013
321777,DA Miller,3,middle-order batter,left-hand bat,right-arm offbreak,152.0,130.0,3780.0,42.0,102.18,5.0,12.0,,,,,42.0,,,3058.0,,139,3054.0,,126.0,110.0,5.0,,,,,,2010-2023,152.0,130.0,40.0,3780.0,139,42.0,3699.0,102.18,5.0,20.0,8.0,283.0,104.0,2010-2023,,,,,,,,,,,,152.0,,,,,South Africa,10/06/1989,3780.0000000000064,7.126352107693868e-14,batter,3780.0000000000077
318845,RR Rossouw,3,top-order batter,left-hand bat,right-arm offbreak,36.0,35.0,1239.0,38.71,94.36,3.0,7.0,1.0,44.0,5.86,45.0,38.71,44.0,1.0,1239.0,44.0,132,1313.0,45.0,36.0,35.0,3.0,1.0,5.86,Jan-17,0.0,0.0,2014-2016,36.0,35.0,3.0,1239.0,132,38.71,1313.0,94.36,3.0,7.0,5.0,131.0,22.0,2014-2016,17-Jan,17-Jan,,44.0,5.86,45.0,44.0,0.0,0.0,3.0,0.0,36.0,7.3,,0.0,1.0,South Africa,09/10/1989,1239.0000000000002,1.000000000000025,batter,1259.0000000000007
436757,H Klaasen,3,wicketkeeper batter,right-hand bat,right-arm offbreak,33.0,31.0,933.0,35.88,98.21,1.0,1.0,0.0,,6.6,,35.88,,0.0,251.0,,59,291.0,,14.0,13.0,0.0,,,,,,2018-2023,33.0,31.0,5.0,933.0,123*,35.88,950.0,98.21,1.0,5.0,1.0,82.0,20.0,2018-2023,,,,,6.6,,33.0,0.0,0.0,2.0,0.0,33.0,5.0,,0.0,0.0,South Africa,30/07/1991,932.9999999999997,8.645289480413173e-15,wicketkeeper batter,932.9999999999999
550215,K Rabada,3,bowler,left-hand bat,right-arm fast,88.0,36.0,317.0,15.85,82.76,0.0,0.0,137.0,27.7,5.02,33.0,15.85,27.7,137.0,259.0,27.34,31*,333.0,32.8,75.0,28.0,0.0,117.0,4.99,Jun-16,6.0,1.0,2015-2023,88.0,36.0,16.0,317.0,31*,15.85,383.0,82.76,0.0,0.0,2.0,26.0,7.0,2015-2023,16-Jun,16-Jun,,27.7,5.02,33.0,3796.0,2.0,6.0,86.0,50.0,88.0,755.1,,0.0,137.0,South Africa,25/05/1995,316.99999999999903,136.9999999999999,bowler,3056.999999999997
265564,WD Parnell,3,bowler,left-hand bat,left-arm medium-fast,72.0,42.0,570.0,20.35,79.27,0.0,1.0,98.0,30.4,5.6,32.5,20.35,30.4,98.0,508.0,29.12,56,648.0,30.9,65.0,38.0,0.0,94.0,5.64,May-48,3.0,2.0,2009-2023,72.0,42.0,14.0,570.0,56,20.35,719.0,79.27,0.0,1.0,3.0,42.0,9.0,2009-2023,May-48,May-48,,30.4,5.6,32.5,2980.0,2.0,3.0,68.0,22.0,72.0,532.0,,0.0,98.0,South Africa,30/07/1989,569.9999999999992,97.99999999999994,bowler,2529.999999999998
540316,AL Phehlukwayo,3,bowling allrounder,left-hand bat,right-arm medium-fast,74.0,47.0,742.0,23.93,86.37,0.0,1.0,87.0,31.54,5.73,32.9,23.93,31.54,87.0,549.0,29.78,69*,610.0,31.9,52.0,32.0,0.0,65.0,5.59,Apr-22,3.0,0.0,2016-2022,74.0,47.0,16.0,742.0,69*,23.93,859.0,86.37,0.0,2.0,4.0,67.0,27.0,2016-2022,22-Apr,22-Apr,,31.54,5.73,32.9,2744.0,0.0,3.0,69.0,17.0,74.0,478.1,,0.0,87.0,South Africa,03/03/1996,741.9999999999994,86.99999999999996,bowler,2481.9999999999986
542023,L Ngidi,3,bowler,right-hand bat,right-arm fast-medium,42.0,15.0,67.0,13.4,63.2,0.0,0.0,71.0,26.52,5.68,27.9,13.4,26.52,71.0,47.0,23.09,19*,66.0,25.0,22.0,9.0,0.0,41.0,5.53,Apr-51,2.0,0.0,2018-2023,42.0,15.0,10.0,67.0,19*,13.4,106.0,63.2,0.0,0.0,2.0,5.0,4.0,2018-2023,Jun-58,Jun-58,,26.52,5.68,27.9,1883.0,1.0,3.0,41.0,19.0,42.0,331.0,,0.0,71.0,South Africa,29/03/1996,66.9999999999981,70.99999999999994,bowler,1486.999999999997
379145,T Shamsi,3,bowler,right-hand bat,left-arm wrist-spin,41.0,8.0,18.0,9.0,43.9,0.0,0.0,51.0,35.98,5.53,39.0,9.0,35.98,51.0,0.0,42.0,0*,2.0,46.2,17.0,3.0,0.0,19.0,5.44,Apr-33,1.0,0.0,2016-2023,41.0,8.0,6.0,18.0,9*,9.0,41.0,43.9,0.0,0.0,1.0,1.0,0.0,2016-2023,May-49,May-49,,35.98,5.53,39.0,1835.0,1.0,1.0,38.0,7.0,41.0,331.3,,0.0,51.0,South Africa,18/02/1990,17.999999999998202,50.999999999999964,bowler,1037.9999999999975
372116,T Bavuma,3,middle-order batter,right-hand bat,right-arm medium,23.0,22.0,910.0,45.5,86.99,3.0,0.0,0.0,,3.56,,45.5,,0.0,161.0,,113,170.0,,2.0,2.0,1.0,,,,,,2016-2023,23.0,22.0,2.0,910.0,113,45.5,1046.0,86.99,3.0,2.0,0.0,84.0,8.0,2016-2023,,,,,3.56,,22.0,0.0,0.0,1.0,0.0,23.0,6.1,,0.0,0.0,South Africa,17/05/1990,909.9999999999998,1.8724892467786272e-15,batter,909.9999999999998
269280,RR Hendricks,3,opening batter,right-hand bat,right-arm offbreak,27.0,27.0,694.0,27.76,77.62,1.0,2.0,1.0,47.0,6.71,42.0,27.76,47.0,1.0,455.0,47.0,102,591.0,42.0,18.0,18.0,1.0,1.0,6.71,Jan-13,0.0,0.0,2018-2023,27.0,27.0,2.0,694.0,102,27.76,894.0,77.62,1.0,5.0,1.0,70.0,6.0,2018-2023,13-Jan,13-Jan,,47.0,6.71,42.0,47.0,0.0,0.0,3.0,0.0,27.0,7.0,,0.0,1.0,South Africa,14/08/1989,693.9999999999991,1.00000000000002,batter,713.9999999999995
